"id","lon","lat"
"460","-73.96590294","40.71285887"
"264","-74.00731853","40.70706456"
"2002","-73.963198","40.716887"
"351","-74.00612572","40.70530954"
"500","-73.98336183","40.76228826"
"440","-73.97282625","40.75255434"
"242","-73.97350332","40.69788349"
"297","-73.986923","40.734232"
"414","-73.98765762","40.70281858"
"369","-74.00026394","40.73224119"
"498","-73.98808416","40.74854862"
"254","-73.99800419","40.73532427"
"505","-73.98848395","40.74901271"
"365","-73.9614583","40.68223166"
"327","-74.01658354","40.7153379"
"296","-73.9970468","40.71413089"
"447","-73.9851615","40.76370739"
"326","-73.98426726","40.72953837"
"349","-73.98329859","40.71850211"
"253","-73.99453948","40.73543934"
"280","-73.99510132","40.73331967"
"496","-73.99238967","40.73726186"
"492","-73.99093085","40.75019995"
"438","-73.98564945","40.72779126"
"490","-73.993934","40.751551"
"127","-74.00674436","40.73172428"
"398","-73.9999786","40.69165183"
"311","-73.98802084","40.7172274"
"464","-73.96759673","40.75934501"
"360","-74.00887308","40.70717936"
"355","-73.99974372","40.71602118"
"281","-73.97371465","40.7643971"
"332","-73.97948148","40.71219906"
"376","-74.00722156","40.70862144"
"454","-73.96592976","40.75455731"
"529","-73.99098507","40.7575699"
"261","-73.98362464","40.69474881"
"415","-74.00926027","40.7047177"
"527","-73.97434726","40.74315566"
"475","-73.98758561","40.73524276"
"520","-73.97648516","40.75992262"
"276","-74.0104554","40.71748752"
"517","-73.97798848","40.75149263"
"330","-74.00562789","40.71450451"
"2009","-73.99682619","40.71117444"
"391","-73.99344559","40.69760127"
"516","-73.96784384","40.75206862"
"471","-73.95698119","40.71286844"
"545","-73.97809472","40.736502"
"271","-73.97805813","40.68528172"
"279","-73.98271933","40.69986937"
"436","-73.95399026","40.68216564"
"488","-73.99372222","40.75645824"
"120","-73.95928168","40.68676793"
"238","-74.00859207","40.7361967"
"433","-73.98057249","40.72955361"
"216","-73.99548059","40.70037867"
"304","-74.01361706","40.70463334"
"356","-73.98261206","40.71622644"
"249","-74.0090009","40.71870987"
"263","-73.996375","40.71729"
"347","-74.00748842","40.72873888"
"153","-73.9816324043","40.752062307"
"241","-73.97493121","40.68981035"
"291","-73.984844","40.713126"
"525","-74.0021163","40.75594159"
"310","-73.98912867","40.68926942"
"495","-73.99301222","40.76269882"
"346","-74.00618026","40.73652889"
"342","-73.98016555","40.71739973"
"361","-73.99190759","40.71605866"
"363","-74.01713445","40.70834698"
"456","-73.97402311","40.7597108"
"82","-74.00016545","40.71117416"
"513","-73.988639","40.768254"
"522","-73.97207836","40.75714758"
"386","-74.00234482","40.71494807"
"367","-73.97069431","40.75828065"
"437","-73.9500479759","40.6809833854"
"395","-73.98410637","40.68807003"
"212","-74.00681753","40.74334935"
"228","-73.971878855","40.7546011026"
"270","-73.97178913","40.69308257"
"340","-73.98776323","40.71269042"
